Molecule,Group,Conformer,Atom_Index,F_Isotropic_ppm,F_Anisotropy_ppm
32,Group3_60-40,conf_17,11,318.302,120.144
32,Group3_60-40,conf_17,13,267.73,82.97
32,Group3_60-40,conf_18,5,294.722,139.666
32,Group3_60-40,conf_18,11,320.39,128.91
32,Group3_60-40,conf_18,13,267.884,83.255
32,Group3_60-40,conf_19,5,296.167,131.251
32,Group3_60-40,conf_19,11,318.208,120.136
32,Group3_60-40,conf_19,13,267.746,82.966
32,Group3_60-40,conf_20,5,295.634,139.061
32,Group3_60-40,conf_20,11,318.122,120.441
32,Group3_60-40,conf_20,13,267.617,83.049
32,Group3_60-40,conf_21,5,294.759,132.438
32,Group3_60-40,conf_21,11,320.696,128.078
32,Group3_60-40,conf_21,13,267.454,83.191
32,Group3_60-40,conf_22,5,294.671,139.785
32,Group3_60-40,conf_22,11,320.348,129.086
32,Group3_60-40,conf_22,13,267.873,83.259
32,Group3_60-40,conf_23,5,294.733,139.529
32,Group3_60-40,conf_23,11,320.376,128.986
32,Group3_60-40,conf_23,13,267.874,83.224
32,Group3_60-40,conf_24,5,294.751,132.536
32,Group3_60-40,conf_24,11,320.668,128.107
32,Group3_60-40,conf_24,13,267.423,83.096
32,Group3_60-40,conf_25,5,294.572,132.746
32,Group3_60-40,conf_25,11,320.602,128.005
32,Group3_60-40,conf_25,13,267.36,83.141
32,Group3_60-40,conf_27,5,294.829,133.883
32,Group3_60-40,conf_27,11,320.884,127.605
32,Group3_60-40,conf_27,13,267.782,82.692
32,Group3_60-40,conf_28,5,294.868,133.77
32,Group3_60-40,conf_28,11,320.892,127.753
32,Group3_60-40,conf_28,13,267.852,82.706
32,Group4_40-60,conf_01,5,294.765,135.198
32,Group4_40-60,conf_01,11,320.042,129.414
32,Group4_40-60,conf_01,13,267.434,83.802
32,Group4_40-60,conf_02,5,294.72,133.755
32,Group4_40-60,conf_02,11,320.166,128.842
32,Group4_40-60,conf_02,13,267.487,83.73
32,Group4_40-60,conf_03,5,295.18,131.4
32,Group4_40-60,conf_03,11,320.498,128.426
