Exp_Compound,Comp_Model,Reporter,Atoms_Tracked,GLS_Type,Group,Epsilon,Conformer,Gibbs_Hartree,DeltaG_kcal_mol,Boltzmann_Weight,F_Shielding_ppm,Sigma_avg_ppm
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_04,-1499.37172023,0.002353,0.04704353,294.634,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_05,-1499.37172398,0.000000,0.04723074,294.670,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_06,-1499.37162922,0.059463,0.04272069,295.163,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_07,-1499.37162763,0.060460,0.04264881,294.655,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_08,-1499.37162758,0.060492,0.04264655,295.148,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_09,-1499.37086490,0.539080,0.01901411,292.550,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_10,-1499.37084692,0.550363,0.01865545,292.325,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_11,-1499.37162523,0.061967,0.04254054,295.138,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_12,-1499.37163365,0.056683,0.04292160,295.055,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_13,-1499.37163034,0.058760,0.04277140,295.128,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_14,-1499.37163358,0.056727,0.04291842,295.114,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_15,-1499.37170006,0.015010,0.04604923,294.627,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_16,-1499.37168168,0.026544,0.04516148,294.605,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_17,-1499.37095133,0.484845,0.02083680,296.151,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_18,-1499.37160463,0.074893,0.04162245,294.688,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_19,-1499.37087365,0.533590,0.01919114,296.124,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_20,-1499.37094709,0.487505,0.02074344,295.594,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_21,-1499.37135032,0.234475,0.03179460,294.770,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_22,-1499.37164017,0.052592,0.04321902,294.586,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_23,-1499.37166849,0.034820,0.04453497,294.708,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_24,-1499.37138022,0.215712,0.03281757,294.762,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_25,-1499.37136331,0.226324,0.03223505,294.585,294.811757
