Molecule,Group,Conformer,Normal_Termination,Gibbs_Hartree,Imaginary_Freq
37,Group4_40-60,conf_29,TRUE,-967.54318742,FALSE
37,Group4_40-60,conf_30,TRUE,-967.54330094,FALSE
37,Group4_40-60,conf_31,TRUE,-967.54341802,FALSE
37,Group4_40-60,conf_32,TRUE,-967.54333428,FALSE
37,Group4_40-60,conf_33,TRUE,-967.54286764,FALSE
37,Group5_20-80,conf_01,TRUE,-967.54563967,FALSE
37,Group5_20-80,conf_02,TRUE,-967.54550010,FALSE
37,Group5_20-80,conf_03,TRUE,-967.54527280,FALSE
37,Group5_20-80,conf_04,TRUE,-967.54520582,FALSE
37,Group5_20-80,conf_05,TRUE,-967.54375460,FALSE
37,Group5_20-80,conf_06,TRUE,-967.54372119,FALSE
37,Group5_20-80,conf_07,TRUE,-967.54381985,FALSE
37,Group5_20-80,conf_08,TRUE,-967.54376274,FALSE
37,Group5_20-80,conf_09,TRUE,-967.54381644,FALSE
37,Group5_20-80,conf_10,TRUE,-967.54521454,FALSE
37,Group5_20-80,conf_11,TRUE,-967.54378230,FALSE
37,Group5_20-80,conf_12,TRUE,-967.54284760,FALSE
37,Group5_20-80,conf_13,TRUE,-967.54273972,FALSE
37,Group5_20-80,conf_14,TRUE,-967.54101153,FALSE
37,Group5_20-80,conf_15,TRUE,-967.54236588,FALSE
37,Group5_20-80,conf_16,TRUE,-967.54231457,FALSE
37,Group5_20-80,conf_17,TRUE,-967.54227584,FALSE
37,Group5_20-80,conf_18,TRUE,-967.54223048,FALSE
37,Group5_20-80,conf_19,TRUE,-967.54223099,FALSE
37,Group5_20-80,conf_20,TRUE,-967.54222265,FALSE
37,Group5_20-80,conf_21,TRUE,-967.54222630,FALSE
37,Group5_20-80,conf_22,TRUE,-967.54222018,FALSE
37,Group5_20-80,conf_23,TRUE,-967.54292308,FALSE
37,Group5_20-80,conf_24,TRUE,-967.54315547,FALSE
37,Group5_20-80,conf_25,TRUE,-967.54329305,FALSE
37,Group5_20-80,conf_26,TRUE,-967.54310729,FALSE
37,Group5_20-80,conf_27,TRUE,-967.54287564,FALSE
37,Group5_20-80,conf_28,TRUE,-967.54316158,FALSE
37,Group5_20-80,conf_29,TRUE,-967.54314275,FALSE
37,Group5_20-80,conf_30,TRUE,-967.54324248,FALSE
37,Group5_20-80,conf_31,TRUE,-967.54335601,FALSE
37,Group5_20-80,conf_32,TRUE,-967.54327932,FALSE
37,Group5_20-80,conf_33,TRUE,-967.54281405,FALSE
37,Group6_100Org,conf_01,TRUE,-967.54555532,FALSE
37,Group6_100Org,conf_02,TRUE,-967.54542076,FALSE
37,Group6_100Org,conf_03,TRUE,-967.54518999,FALSE
37,Group6_100Org,conf_04,TRUE,-967.54512317,FALSE
37,Group6_100Org,conf_05,TRUE,-967.54367292,FALSE
37,Group6_100Org,conf_06,TRUE,-967.54363822,FALSE
37,Group6_100Org,conf_07,TRUE,-967.54373806,FALSE
37,Group6_100Org,conf_08,TRUE,-967.54368025,FALSE
37,Group6_100Org,conf_09,TRUE,-967.54373272,FALSE
37,Group6_100Org,conf_10,TRUE,-967.54513173,FALSE
37,Group6_100Org,conf_11,TRUE,-967.54370006,FALSE
37,Group6_100Org,conf_12,TRUE,-967.54274046,FALSE
37,Group6_100Org,conf_13,TRUE,-967.54264703,FALSE
37,Group6_100Org,conf_14,TRUE,-967.54091724,FALSE
37,Group6_100Org,conf_15,TRUE,-967.54227346,FALSE
37,Group6_100Org,conf_16,TRUE,-967.54221647,FALSE
37,Group6_100Org,conf_17,TRUE,-967.54218331,FALSE
37,Group6_100Org,conf_18,TRUE,-967.54213823,FALSE
37,Group6_100Org,conf_19,TRUE,-967.54213559,FALSE
37,Group6_100Org,conf_20,TRUE,-967.54212745,FALSE
37,Group6_100Org,conf_21,TRUE,-967.54213254,FALSE
37,Group6_100Org,conf_22,TRUE,-967.54212794,FALSE
37,Group6_100Org,conf_23,TRUE,-967.54278672,FALSE
37,Group6_100Org,conf_24,TRUE,-967.54306276,FALSE
37,Group6_100Org,conf_25,TRUE,-967.54319209,FALSE
37,Group6_100Org,conf_26,TRUE,-967.54301827,FALSE
37,Group6_100Org,conf_27,TRUE,-967.54277831,FALSE
37,Group6_100Org,conf_28,TRUE,-967.54307404,FALSE
37,Group6_100Org,conf_29,TRUE,-967.54302848,FALSE
37,Group6_100Org,conf_30,TRUE,-967.54315062,FALSE
37,Group6_100Org,conf_31,TRUE,-967.54325988,FALSE
37,Group6_100Org,conf_32,TRUE,-967.54318128,FALSE
37,Group6_100Org,conf_33,TRUE,-967.54270805,FALSE
36,Group1_100Aq,conf_01,TRUE,-1085.17518612,FALSE
36,Group1_100Aq,conf_02,TRUE,-1085.17525454,FALSE
36,Group1_100Aq,conf_03,TRUE,-1085.17390795,FALSE
36,Group1_100Aq,conf_04,TRUE,-1085.17407158,FALSE
36,Group1_100Aq,conf_05,TRUE,-1085.17405649,FALSE
36,Group1_100Aq,conf_06,TRUE,-1085.17480908,FALSE
36,Group1_100Aq,conf_07,TRUE,-1085.17511563,FALSE
36,Group1_100Aq,conf_08,TRUE,-1085.17380899,FALSE
36,Group1_100Aq,conf_09,TRUE,-1085.17388276,FALSE
36,Group1_100Aq,conf_10,TRUE,-1085.17387791,FALSE
36,Group1_100Aq,conf_11,TRUE,-1085.17384504,FALSE
36,Group1_100Aq,conf_12,TRUE,-1085.17370955,FALSE
36,Group1_100Aq,conf_13,TRUE,-1085.17387204,FALSE
36,Group1_100Aq,conf_14,TRUE,-1085.17393559,FALSE
36,Group1_100Aq,conf_15,TRUE,-1085.17385340,FALSE
36,Group1_100Aq,conf_16,TRUE,-1085.17389332,FALSE
36,Group1_100Aq,conf_17,TRUE,-1085.17380905,FALSE
36,Group1_100Aq,conf_18,TRUE,-1085.17378808,FALSE
36,Group1_100Aq,conf_19,TRUE,-1085.17407697,FALSE
36,Group1_100Aq,conf_20,TRUE,-1085.17413756,FALSE
36,Group1_100Aq,conf_21,TRUE,-1085.17378134,FALSE
36,Group1_100Aq,conf_22,TRUE,-1085.17394938,FALSE
36,Group1_100Aq,conf_23,TRUE,-1085.17389663,FALSE
36,Group1_100Aq,conf_24,TRUE,-1085.17380537,FALSE
36,Group1_100Aq,conf_25,TRUE,-1085.17366151,FALSE
